date,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,temp_kf,id,main,description,icon
2020-05-02 21:00:00,81.93,75.18,81.93,83.14,1020,1019,983,24,-0.67,800,Clear,clear sky,01d
2020-05-03 00:00:00,78.26,73.38,77.56,78.26,1019,1019,983,34,0.39,800,Clear,clear sky,01d
2020-05-03 03:00:00,71.94,68.04,71.33,71.94,1020,1020,984,46,0.34,800,Clear,clear sky,01n
2020-05-03 06:00:00,67.48,64.85,67.37,67.48,1019,1019,983,55,0.06,800,Clear,clear sky,01n
2020-05-03 09:00:00,64.78,60.66,64.78,64.78,1018,1018,982,56,0.0,800,Clear,clear sky,01n
2020-05-03 12:00:00,64.69,60.48,64.69,64.69,1020,1020,983,55,0.0,800,Clear,clear sky,01d
2020-05-03 15:00:00,76.5,69.42,76.5,76.5,1019,1019,983,29,0.0,802,Clouds,scattered clouds,03d
2020-05-03 18:00:00,83.79,74.73,83.79,83.79,1016,1016,981,18,0.0,801,Clouds,few clouds,02d
2020-05-03 21:00:00,84.78,76.87,84.78,84.78,1014,1014,979,24,0.0,800,Clear,clear sky,01d
2020-05-04 00:00:00,78.76,72.9,78.76,78.76,1014,1014,978,37,0.0,801,Clouds,few clouds,02d
2020-05-04 03:00:00,73.65,68.68,73.65,73.65,1015,1015,979,47,0.0,802,Clouds,scattered clouds,03n
2020-05-04 06:00:00,71.19,67.23,71.19,71.19,1014,1014,978,53,0.0,803,Clouds,broken clouds,04n
2020-05-04 09:00:00,67.64,63.91,67.64,67.64,1013,1013,977,63,0.0,800,Clear,clear sky,01n
2020-05-04 12:00:00,68.52,66.0,68.52,68.52,1015,1015,978,66,0.0,800,Clear,clear sky,01d
2020-05-04 15:00:00,78.6,77.56,78.6,78.6,1015,1015,979,53,0.0,800,Clear,clear sky,01d
2020-05-04 18:00:00,86.05,84.56,86.05,86.05,1013,1013,978,40,0.0,500,Rain,light rain,10d
2020-05-04 21:00:00,83.17,81.1,83.17,83.17,1012,1012,977,46,0.0,500,Rain,light rain,10d
2020-05-05 00:00:00,79.23,78.66,79.23,79.23,1013,1013,977,53,0.0,500,Rain,light rain,10d
2020-05-05 03:00:00,75.18,77.47,75.18,75.18,1013,1013,978,64,0.0,804,Clouds,overcast clouds,04n
2020-05-05 06:00:00,72.18,74.08,72.18,72.18,1013,1013,977,73,0.0,804,Clouds,overcast clouds,04n
2020-05-05 09:00:00,70.38,70.97,70.38,70.38,1013,1013,977,75,0.0,800,Clear,clear sky,01n
2020-05-05 12:00:00,70.29,69.28,70.29,70.29,1014,1014,978,67,0.0,800,Clear,clear sky,01d
2020-05-05 15:00:00,79.77,75.97,79.77,79.77,1014,1014,979,43,0.0,800,Clear,clear sky,01d
2020-05-05 18:00:00,88.0,81.81,88.0,88.0,1012,1012,977,27,0.0,800,Clear,clear sky,01d
2020-05-05 21:00:00,88.9,82.09,88.9,88.9,1010,1010,975,26,0.0,802,Clouds,scattered clouds,03d
2020-05-06 00:00:00,83.25,78.33,83.25,83.25,1011,1011,976,35,0.0,802,Clouds,scattered clouds,03d
2020-05-06 03:00:00,76.98,72.79,76.98,76.98,1012,1012,976,48,0.0,803,Clouds,broken clouds,04n
2020-05-06 06:00:00,73.45,70.05,73.45,73.45,1012,1012,976,51,0.0,803,Clouds,broken clouds,04n
2020-05-06 09:00:00,69.73,67.01,69.73,69.73,1012,1012,976,51,0.0,802,Clouds,scattered clouds,03n
2020-05-06 12:00:00,67.98,63.79,67.98,67.98,1013,1013,977,56,0.0,803,Clouds,broken clouds,04d
2020-05-06 15:00:00,72.82,66.34,72.82,72.82,1013,1013,978,45,0.0,802,Clouds,scattered clouds,03d
2020-05-06 18:00:00,76.87,64.92,76.87,76.87,1013,1013,978,20,0.0,802,Clouds,scattered clouds,03d
2020-05-06 21:00:00,75.63,64.62,75.63,75.63,1013,1013,977,23,0.0,800,Clear,clear sky,01d
2020-05-07 00:00:00,69.69,59.61,69.69,69.69,1014,1014,978,31,0.0,800,Clear,clear sky,01d
2020-05-07 03:00:00,64.53,55.49,64.53,64.53,1017,1017,980,41,0.0,800,Clear,clear sky,01n
2020-05-07 06:00:00,59.86,51.26,59.86,59.86,1017,1017,981,47,0.0,800,Clear,clear sky,01n
2020-05-07 09:00:00,56.44,46.53,56.44,56.44,1018,1018,981,47,0.0,800,Clear,clear sky,01n
2020-05-07 12:00:00,54.79,44.58,54.79,54.79,1020,1020,983,48,0.0,800,Clear,clear sky,01d
2020-05-07 15:00:00,61.45,51.75,61.45,61.45,1021,1021,984,34,0.0,800,Clear,clear sky,01d
2020-05-07 18:00:00,68.94,59.43,68.94,68.94,1020,1020,984,22,0.0,800,Clear,clear sky,01d
